series,month,sales
IC,2020,13.6
TK,2020,19.0
IS, 2020,23.4
IC,2019,15.5
TK,2019,18.1
IS,2019,23.9
IC,2018,17.5
TK,2018,17.7
IS,2018,26.3
IC,2017,17.5
TK,2017,18.5
IS,2017,22.4
IC,2016,18.2
TK,2016,19.5
IS,2016,26.8
IC,2015,17.0
TK,2015,19.9
IS,2015,27.1
IC,2014,18.4
TK,2014,19.6
IS,2014,28.3
IC,2011,20.1
TK,2011,20.4
IS,2011,22.5
IC,2009,20.3
TK,2009,18.5
IS,2009,23.2
IC,2006,21.0
TK,2006,18.5
IS,2006,26.9
IC,2004,20.6
TK,2004,18.7
IS,2004,21.4
IC,2000,23.0
TK,2000,18.3
IS,2000,19.9
IC,1998,23.1
TK,1998,18.5
IS,1998,23.4